host_id,host_since,name,neighbourhood,property_type,review_scores_rating_bin,room_type,zipcode,beds,number_of_reviews,price,review_scores_rating
5162530,0,1 Bedroom in Prime Williamsburg,Brooklyn,Apartment,0.0,Entire home/apt,11249.0,1.0,0,145,0.0
33134899,0,"Sunny, Private room in Bushwick",Brooklyn,Apartment,0.0,Private room,11206.0,1.0,1,37,0.0
39608626,0,Sunny Room in Harlem,Manhattan,Apartment,0.0,Private room,10032.0,1.0,1,28,0.0
500,2008-06-26 00:00:00,Gorgeous 1 BR with Private Balcony,Manhattan,Apartment,0.0,Entire home/apt,10024.0,3.0,0,199,0.0
500,2008-06-26 00:00:00,Trendy Times Square Loft,Manhattan,Apartment,95.0,Private room,10036.0,3.0,39,549,96.0
1039,2008-07-25 00:00:00,Big Greenpoint 1BD w/ Skyline View,Brooklyn,Apartment,100.0,Entire home/apt,11222.0,1.0,4,149,100.0
1783,2008-08-12 00:00:00,Amazing Also,Manhattan,Apartment,100.0,Entire home/apt,10004.0,1.0,9,250,100.0
2078,2008-08-15 00:00:00,"Colorful, quiet, & near the subway!",Brooklyn,Apartment,90.0,Private room,11201.0,1.0,80,90,94.0
2339,2008-08-20 00:00:00,East Village Cocoon: 2 Bedroom Flat,Manhattan,Apartment,90.0,Entire home/apt,10009.0,2.0,95,270,90.0
2339,2008-08-20 00:00:00,Lovely 2 Bedroom East Village Nest,Manhattan,Apartment,95.0,Entire home/apt,10009.0,2.0,23,290,96.0
2571,2008-08-27 00:00:00,THE PUTNAM,Brooklyn,Apartment,95.0,Entire home/apt,11221.0,2.0,14,170,98.0
2758,2008-09-06 00:00:00,Stay at Chez Chic budget room #1,Manhattan,Apartment,90.0,Private room,10026.0,2.0,120,59,93.0
2758,2008-09-06 00:00:00,Stay at Chez Chic budget Room #2,Manhattan,Apartment,90.0,Private room,10026.0,2.0,81,49,91.0
2787,2008-09-07 00:00:00,Renovated and spacious townhome,Brooklyn,House,0.0,Private room,11223.0,1.0,0,68,0.0
2845,2008-09-09 00:00:00,Midtown Castle,Manhattan,Apartment,95.0,Entire home/apt,10018.0,1.0,17,285,97.0
2881,2008-09-10 00:00:00,Newly renovated historic brownstone,Brooklyn,Apartment,95.0,Private room,11216.0,1.0,32,75,95.0
2965,2008-09-14 00:00:00,Large Bedroom in 3-bedroom Apt.,Manhattan,Apartment,95.0,Private room,10025.0,1.0,52,145,99.0
3211,2008-09-25 00:00:00,"Elegant NYC, 10mins to Manhattan!",Queens,Apartment,90.0,Private room,11106.0,1.0,3,100,93.0
3227,2008-09-26 00:00:00,"Priv Apt,Garden,BBQ,A/C,BigTV,for 4",Manhattan,Apartment,85.0,Entire home/apt,10001.0,3.0,171,150,85.0
3226,2008-09-26 00:00:00,Great 3 Bed Apt Tribeca / Soho,Manhattan,Apartment,0.0,Entire home/apt,10013.0,3.0,0,700,0.0
3226,2008-09-26 00:00:00,Huge Room Soho LOFT off WBroadway,Manhattan,Apartment,85.0,Private room,10013.0,1.0,9,125,86.0
3226,2008-09-26 00:00:00,Master Room Soho LOFT off WBroadway,Manhattan,Apartment,0.0,Private room,10013.0,1.0,0,175,0.0
3415,2008-10-02 00:00:00,Beautiful Furnished Master Bedroom,Queens,House,0.0,Private room,11365.0,1.0,0,90,0.0
3563,2008-10-10 00:00:00,16' x 11' Furnished BR with Balcony,Brooklyn,Apartment,100.0,Private room,11220.0,1.0,1,40,100.0
3647,2008-10-14 00:00:00,Conveniently Queens with Two Rooms,Queens,Apartment,90.0,Entire home/apt,11373.0,1.0,4,89,93.0
3647,2008-10-14 00:00:00,Quality Cozy Studio Next to Subway,Queens,Apartment,90.0,Entire home/apt,11373.0,1.0,16,95,94.0
3647,2008-10-14 00:00:00,Queens Quality Convenient Apartment,Queens,Apartment,100.0,Entire home/apt,11373.0,2.0,9,99,100.0
3867,2008-10-29 00:00:00,1 Bedroom Apartment in Chinatown!,Manhattan,Apartment,90.0,Entire home/apt,10002.0,1.0,19,149,93.0
3867,2008-10-29 00:00:00,3 bedroom apartment in Chinatown!,Manhattan,Apartment,80.0,Entire home/apt,10038.0,4.0,2,499,80.0
3867,2008-10-29 00:00:00,Private bedroom in spacious loft!,Manhattan,Apartment,0.0,Private room,10038.0,4.0,0,99,0.0
3867,2008-10-29 00:00:00,Share a bedroom in a huge Apartment,Manhattan,Apartment,0.0,Shared room,10038.0,1.0,0,99,0.0
4177,2008-11-09 00:00:00,++ Brooklyn Penthouse Guestroom ++,Brooklyn,Apartment,90.0,Private room,11206.0,1.0,16,125,94.0
4267,2008-11-12 00:00:00,Robin's Nest on the fabulous UWS,Manhattan,Apartment,85.0,Entire home/apt,10024.0,2.0,28,170,88.0
4267,2008-11-12 00:00:00,Airy Room on the fabulous UWS,Manhattan,Apartment,90.0,Private room,10024.0,1.0,62,120,92.0
4396,2008-11-19 00:00:00,"Large Room, Amazing E. Village Apt",Manhattan,Apartment,85.0,Private room,10009.0,1.0,23,79,89.0
4488,2008-11-21 00:00:00,Sunny & Bright Harlem Home,Manhattan,Apartment,95.0,Entire home/apt,10027.0,3.0,6,125,97.0
4732,2008-12-01 00:00:00,A home in the heart of Park Slope,Brooklyn,Apartment,90.0,Entire home/apt,11217.0,1.0,5,110,92.0
4869,2008-12-07 00:00:00,Whole B'stone flr w priv kit & bat,Brooklyn,Other,85.0,Private room,11238.0,3.0,14,89,85.0
5871,2008-12-31 00:00:00,Bergen's Best Short Stay 2!,Brooklyn,Apartment,90.0,Entire home/apt,11213.0,3.0,12,180,93.0
5871,2008-12-31 00:00:00,Bergen's Best!,Brooklyn,Apartment,95.0,Entire home/apt,11213.0,3.0,5,180,95.0
5926,2009-01-02 00:00:00,Charming Central Park Hideaway,Manhattan,Apartment,80.0,Entire home/apt,10026.0,1.0,23,143,82.0
5926,2009-01-02 00:00:00,NYC 2-Bed Apt Mins to Times Square,Manhattan,Apartment,85.0,Entire home/apt,10027.0,2.0,28,230,89.0
5926,2009-01-02 00:00:00,Beautiful Apt with Park Views,Manhattan,Apartment,85.0,Entire home/apt,10030.0,5.0,40,350,86.0
5940,2009-01-02 00:00:00,Comfy 2BR Apt 20 mins to Midtown,Queens,Apartment,85.0,Entire home/apt,11368.0,2.0,47,135,86.0
