"","UniqueCarrier","FlightNum"
"1","WN",823
"2","WN",901
"3","WN",957
"4","WN",231
"5","WN",570
"6","WN",1028
"7","WN",2124
"8","WN",2183
"9","WN",2358
"10","WN",3502
"11","WN",342
"12","WN",1188
"13","WN",39
"14","WN",49
"15","WN",144
"16","WN",1392
"17","WN",2096
"18","WN",7
"19","WN",99
"20","WN",2014
"21","WN",3408
"22","WN",1
"23","WN",9
"24","WN",21
"25","WN",35
"26","WN",43
"27","WN",53
"28","WN",2
"29","WN",4
"30","WN",6
"31","WN",8
"32","WN",10
"33","WN",12
"34","WN",16
"35","WN",18
"36","WN",20
"37","WN",24
"38","WN",26
"39","WN",28
"40","WN",30
"41","WN",32
"42","WN",34
"43","WN",36
"44","WN",38
"45","WN",40
"46","WN",42
"47","WN",44
"48","WN",46
"49","WN",48
"50","WN",50
"51","WN",52
"52","WN",54
"53","WN",56
"54","WN",58
"55","WN",60
"56","WN",64
"57","WN",1636
"58","WN",689
"59","WN",2360
"60","WN",2367
"61","WN",195
"62","WN",218
"63","WN",807
"64","WN",506
"65","WN",1665
"66","WN",5
"67","WN",11
"68","WN",19
"69","WN",27
"70","WN",33
"71","WN",37
"72","WN",47
"73","WN",55
"74","WN",1628
"75","WN",205
"76","WN",534
"77","WN",2015
"78","WN",3244
"79","WN",23
"80","WN",223
"81","WN",237
"82","WN",1258
"83","WN",1950
"84","WN",430
"85","WN",971
"86","WN",1026
"87","WN",1113
"88","WN",588
"89","WN",1343
"90","WN",3841
"91","WN",3
"92","WN",25
"93","WN",51
"94","WN",940
"95","WN",2621
"96","WN",389
"97","WN",519
"98","WN",894
"99","WN",969
"100","WN",2174
"101","WN",2445
"102","WN",2974
"103","WN",41
"104","WN",78
"105","WN",311
"106","WN",521
"107","WN",714
"108","WN",788
"109","WN",880
"110","WN",1257
"111","WN",1317
"112","WN",1776
"113","WN",3234
"114","WN",1192
"115","WN",2011
"116","WN",877
"117","WN",956
"118","WN",1230
"119","WN",1916
"120","WN",31
"121","WN",476
"122","WN",1481
"123","WN",1600
"124","WN",2100
"125","WN",3154
"126","WN",3230
"127","WN",1314
"128","WN",63
"129","WN",186
"130","WN",609
"131","WN",626
"132","WN",1410
"133","WN",2089
"134","WN",2436
"135","WN",3321
"136","WN",426
"137","WN",2176
"138","WN",3574
"139","WN",3845
"140","WN",29
"141","WN",45
"142","WN",201
"143","WN",968
"144","WN",308
"145","WN",1491
"146","WN",1685
"147","WN",3915
"148","WN",823
"149","WN",901
"150","WN",1003
"151","WN",2124
"152","WN",2183
"153","WN",2358
"154","WN",2654
"155","WN",342
"156","WN",1188
"157","WN",14
"158","WN",39
"159","WN",147
"160","WN",2096
"161","WN",268
"162","WN",2014
"163","WN",3408
"164","WN",9
"165","WN",21
"166","WN",35
"167","WN",6
"168","WN",8
"169","WN",12
"170","WN",16
"171","WN",18
"172","WN",20
"173","WN",24
"174","WN",26
"175","WN",28
"176","WN",30
"177","WN",32
"178","WN",36
"179","WN",38
"180","WN",40
"181","WN",42
"182","WN",46
"183","WN",50
"184","WN",54
"185","WN",749
"186","WN",916
"187","WN",689
"188","WN",2360
"189","WN",2367
"190","WN",695
"191","WN",807
"192","WN",506
"193","WN",1665
"194","WN",11
"195","WN",19
"196","WN",33
"197","WN",253
"198","WN",919
"199","WN",205
"200","WN",266
"201","WN",534
"202","WN",3244
"203","WN",23
"204","WN",237
"205","WN",657
"206","WN",854
"207","WN",1258
"208","WN",430
"209","WN",971
"210","WN",1026
"211","WN",1113
"212","WN",588
"213","WN",701
"214","WN",1343
"215","WN",3
"216","WN",25
"217","WN",51
"218","WN",940
"219","WN",2621
"220","WN",519
"221","WN",544
"222","WN",2445
"223","WN",2523
"224","WN",41
"225","WN",311
"226","WN",521
"227","WN",714
"228","WN",788
"229","WN",1874
"230","WN",3234
"231","WN",3665
"232","WN",1192
"233","WN",2011
"234","WN",877
"235","WN",956
"236","WN",1230
"237","WN",31
"238","WN",338
"239","WN",942
"240","WN",1478
"241","WN",1600
"242","WN",2100
"243","WN",1314
"244","WN",63
"245","WN",626
"246","WN",2089
"247","WN",2436
"248","WN",3321
"249","WN",678
"250","WN",2176
"251","WN",3845
"252","WN",29
"253","WN",201
"254","WN",649
"255","WN",968
"256","WN",713
"257","WN",878
"258","WN",821
"259","WN",901
"260","WN",909
"261","WN",231
"262","WN",570
"263","WN",2124
"264","WN",2183
"265","WN",2358
"266","WN",3502
"267","WN",342
"268","WN",1188
"269","WN",39
"270","WN",49
"271","WN",382
"272","WN",1392
"273","WN",2096
"274","WN",99
"275","WN",2014
"276","WN",2475
"277","WN",3408
"278","WN",21
"279","WN",35
"280","WN",43
"281","WN",53
"282","WN",847
"283","WN",4
"284","WN",8
"285","WN",12
"286","WN",16
"287","WN",20
"288","WN",24
"289","WN",26
"290","WN",28
"291","WN",30
"292","WN",32
"293","WN",34
"294","WN",36
"295","WN",38
"296","WN",40
"297","WN",42
"298","WN",44
"299","WN",46
"300","WN",48
"301","WN",50
"302","WN",52
"303","WN",54
"304","WN",56
"305","WN",58
"306","WN",60
"307","WN",64
"308","WN",689
"309","WN",2360
"310","WN",2367
"311","WN",195
"312","WN",218
"313","WN",807
"314","WN",506
"315","WN",1665
"316","WN",5
"317","WN",11
"318","WN",19
"319","WN",27
"320","WN",33
"321","WN",37
"322","WN",47
"323","WN",55
"324","WN",205
"325","WN",534
"326","WN",2015
"327","WN",3244
"328","WN",23
"329","WN",223
"330","WN",237
"331","WN",1258
"332","WN",1950
"333","WN",430
"334","WN",971
"335","WN",1026
"336","WN",1113
"337","WN",588
"338","WN",1343
"339","WN",3841
"340","WN",3
"341","WN",25
"342","WN",51
"343","WN",940
"344","WN",2621
"345","WN",519
"346","WN",894
"347","WN",969
"348","WN",2174
"349","WN",2445
"350","WN",2974
"351","WN",41
"352","WN",78
"353","WN",311
"354","WN",521
"355","WN",714
"356","WN",788
"357","WN",880
"358","WN",1317
"359","WN",1776
"360","WN",3234
"361","WN",3665
"362","WN",1192
"363","WN",2011
"364","WN",877
"365","WN",956
"366","WN",1230
